ㄱㅡㄹㅐㅅㅓㄴ	ㄱㅡㄹㅓ/VV+ㅇㅓㅅㅓ/EC+ㄴ,
ㄷㅔㅇㅝㅇㅑ	ㄷㅔㅇㅜ/VV+ㅇㅓㅇㅑ,
ㅅㅏㄴㅏㅇㅝ	ㅅㅏㄴㅏㅂ/VA+ㅇㅓ,
ㄱㅏㄴㄷㅏ”ㅇㅣ	ㄱㅏ/VV+ㄴㄷㅏ/EC+",
‘ㅅㅐㅇㄱㅏㄱㅎㅏㄷㅏ’	'/SS+ㅅㅐㅇㄱㅏㄱ/NNG+ㅎㅏ/XSV+ㄷㅏ/EC+'/SS+ㅇㅣ,
‘ㄱㅡㅁㅅㅐㄱㅇㅑㅊㅏ’ㅇㅕㅆ	'/SS+ㄱㅡㅁㅅㅐㄱㅇㅑㅊㅏ/NNG+'/SS+ㅇㅣ/VCP+ㅇㅓㅆ,
ㅅㅓㄹㅎㅐㅆ	ㅅㅓㄹㅎㅏ/VV+ㅇㅏㅆ,
ㅁㅜㄱㅓㅇㅜㄴㄷㅔ	ㅁㅜㄱㅓㅂ/VA+ㄴㄷㅔ,
ㅎㅐㅈㅜㄹㄱㅔㅇㅛ	ㅎㅏ/VV+ㅇㅏ/EC+ㅈㅜ/VX+ㄹㄱㅔㅇㅛ,
ㄴㅐㅅㅔㅇㅝㅆ	ㄴㅐㅅㅔㅇㅜ/VV+ㅇㅓㅆ,
ㅍㅣㅊㅣ	ㅍㅣㅎㅏ/VV+ㅈㅣ,
ㄴㅓㅁㅇㅓㅇㅘㄷㅗ	ㄴㅓㅁㅇㅓㅇㅗ/VV+ㅇㅏㄷㅗ,
ㅅㅔㄹㅏ	ㄹㅅㅔㄹㅏ,
ㅇㅝㅌㅓㅍㅗㅌㅡㅅㅣ	ㅇㅝㅌㅓㅍㅏㅋㅡㅅㅣ,
ㅂㅗㅇㅣㄹㄹㅏㄱㅁㅏㄹㄹㅏㄱ	ㅂㅗㅇㅣ/VV+ㄹㄹㅏㄱ/EC+ㅁㅏㄹ/VV+ㄹㄹㅏㄱ,
ㄸㅟㅇㅓㄴㅏㅆ	ㄸㅟㅇㅓㄴㅏ/VA+ㅇㅏㅆ,
ㅇㅚㅎㅘㄴㅂㅜㅈㅗㄱ	ㅇㅚㅎㅘㄴ/NNG+ㅂㅜㅈㅗㄱ/NNG+ㅈㅓㅁ,
‘ㅂㅓㄹㅡㅅ’	'/SS+ㅂㅓㄹㅡㅅ/NNG+',
ㅂㅏㄴㄱㅕ	ㅂㅏㄴㄱㅣ/VV+ㅇㅓ,
ㄷㅜㄹㄹㅓㄷㅏㅂㅘㅇㅑ	ㄷㅜㄹㅡ/VV+ㅇㅓㄷㅏ/EC+ㅂㅗ/VV+ㅇㅏㅇㅑ,
ㅁㅣㅇㅝㅈㅣㅂㄴㅣㄷㅏ	ㅁㅣㅂ/VA+ㅇㅓ/EC+ㅈㅣ/VX+ㅂㄴㅣㄷㅏ,
